method,P@1,P@5,MAP,RSA,balAPinc
Baseline,0.0,0.000281610813855252,0.000260098744484245,0.3828127448337128,N/A
GPA,0.36736130667417627,0.6750211208110392,0.5022598394090173,0.38281273469605787,N/A
FGW,0.22162771050408336,0.44762038862292314,0.3272622175432097,0.38281276651482626,N/A
BiSparse,0.005913827090960293,0.08518727119121375,0.042580095839079055,0.3882282191591469,0.28400984
