method,P@1,P@5,MAP,RSA,balAPinc
Baseline,0.0,0.0,0.00018315750364376619,0.41198443669983453,N/A
GPA,0.2860727728983689,0.526474278544542,0.39727466585850435,0.41198447549560596,N/A
FGW,0.17616060225846927,0.35784190715181935,0.2636763207424535,0.411984424174477,N/A
